epoch,timestamp,average_loss,output1_loss,output2_loss,output3_loss
120,2025-03-12 12:12:21,-4571.187520516019,-4933.999491202731,-4673.927771303834,-4222.022998457195
121,2025-03-12 12:14:29,-4632.852182083771,-5000.699091550683,-4736.7538426503415,-4279.040340647978
122,2025-03-12 12:16:37,-4687.85585855436,-5059.982787060137,-4792.9617499343485,-4329.9308815323
123,2025-03-12 12:18:45,-4750.689750607274,-5127.914889295562,-4857.027374524028,-4388.017348345588
124,2025-03-12 12:20:54,-4809.772817916229,-5192.1119969472165,-4917.070536124606,-4442.544772108062
125,2025-03-12 12:23:02,-4870.43615414916,-5257.585810300683,-4979.038139279149,-4498.6220703125
126,2025-03-12 12:25:10,-4928.710814403887,-5320.607787060137,-5038.473716928178,-4552.465490004595
127,2025-03-12 12:27:19,-4993.34582211791,-5390.531155626313,-5104.334517791492,-4612.214849904805
128,2025-03-12 12:29:28,-5053.125693441439,-5455.217235917805,-5165.242821444985,-4667.468766412815
121,2025-03-12 19:22:30,-4632.478542295825,-5000.309225643382,-4736.378988314075,-4278.67988240218
122,2025-03-12 19:24:38,-4688.364352186187,-5060.70083541229,-4793.389250426733,-4330.342964236476
123,2025-03-12 19:26:46,-4746.009564568015,-5123.091485031513,-4852.123555672269,-4383.6122246750265
124,2025-03-12 19:28:54,-4808.87112657563,-5191.048545003939,-4916.25500180541,-4441.699791146928
125,2025-03-12 19:31:02,-4863.447401030725,-5249.971618139443,-4971.9292115283615,-4492.192413586528
126,2025-03-12 19:33:09,-4932.709763983718,-5324.578748686975,-5042.684619550945,-4556.326457047663
127,2025-03-12 19:35:17,-4984.638355928309,-5380.971170890231,-5095.493709788603,-4604.246817965467
128,2025-03-12 19:37:24,-5053.028480337447,-5455.0102415966385,-5165.21378102022,-4667.402840237658
129,2025-03-12 19:39:32,-5114.585592830882,-5521.600709033613,-5227.954150800945,-4724.297379694065
130,2025-03-12 19:41:40,-5175.837747012868,-5587.883805475315,-5290.38202058167,-4780.894572282038
131,2025-03-12 19:43:48,-5240.70971064207,-5658.086704799107,-5356.534097623425,-4840.808253184086
132,2025-03-12 19:45:56,-5303.811076188288,-5726.463928735557,-5420.814847032563,-4899.0681419052
133,2025-03-12 19:48:03,-5363.741941307773,-5791.0546875,-5481.990086659664,-4954.570755646008
134,2025-03-12 19:50:11,-5428.908884256828,-5861.592752921481,-5548.44915309874,-5014.740373883928
135,2025-03-12 19:52:19,-5491.623678768382,-5929.44869764312,-5612.317678243172,-5072.73395237001
136,2025-03-12 19:54:27,-5550.621286600578,-5993.199559315914,-5672.458791524422,-5127.308991760767
137,2025-03-12 19:56:35,-5616.01800075499,-6063.9602932970065,-5739.146004300158,-5187.714806821166
138,2025-03-12 19:58:43,-5684.691931460084,-6138.245400308561,-5809.183893283876,-5251.157333245798
139,2025-03-12 20:00:51,-5754.040207293855,-6213.242544478729,-5879.877708114495,-5315.259814863445
140,2025-03-12 20:03:00,-5818.039013261555,-6282.439375164128,-5945.076582195378,-5374.460055311187
141,2025-03-12 20:05:08,-5878.188497078519,-6347.346626345851,-6006.459493172269,-5430.116202731092
142,2025-03-12 20:07:16,-5945.529169675683,-6420.150283941702,-6075.144231716124,-5492.351521467962
143,2025-03-12 20:09:24,-6011.270306755515,-6491.194311318277,-6142.209333147322,-5553.122464220063
144,2025-03-12 20:11:32,-6078.75496897978,-6564.586614528624,-6210.82445673582,-5615.3286009716385
145,2025-03-12 20:13:40,-6146.966283974527,-6638.225171513918,-6280.42615053834,-5678.426733193277
146,2025-03-12 20:15:48,-6216.375016412815,-6713.360117679885,-6351.186580882353,-5742.526966255252
147,2025-03-12 20:17:55,-6277.254045758928,-6778.888392857143,-6413.347512637868,-5798.957745207458
148,2025-03-12 20:20:03,-6343.526999080882,-6850.846806886817,-6480.560107832195,-5860.261911600578
149,2025-03-12 20:22:11,-6420.429494649422,-6934.0330389968485,-6559.05266872374,-5931.258977809874
150,2025-03-12 20:24:19,-6489.2541237198,-7008.40271303834,-6629.3239110097165,-5994.83974527311
151,2025-03-12 20:26:26,-6556.536497997637,-7081.182001706933,-6697.921181558561,-6057.013396960347
152,2025-03-12 20:28:34,-6624.219463957458,-7154.440671776523,-6766.92712710084,-6119.522239364495
153,2025-03-12 20:30:42,-6697.620736771271,-7233.70058511686,-6841.801712677258,-6187.424406676733
154,2025-03-12 20:32:50,-6767.169392561712,-7308.956854812237,-6912.665966386555,-6251.705742844013
155,2025-03-12 20:34:58,-6838.659598214285,-7386.236303505777,-6985.602034368435,-6317.769547662815
156,2025-03-12 20:37:07,-6915.020224691439,-7469.067148929885,-7063.286075367647,-6388.284979812237
157,2025-03-12 20:39:15,-6980.017959722952,-7539.17239610688,-7129.670820476628,-6448.411842666755
158,2025-03-12 20:41:23,-7043.941000032825,-7608.447963169643,-7194.710256368172,-6507.483168658088
159,2025-03-12 20:43:32,-7122.4295233718485,-7693.3134724592965,-7274.751743861607,-6580.024286863183
160,2025-03-12 20:45:40,-7198.160246520483,-7775.001514082195,-7352.136669511555,-6650.0462225905985
161,2025-03-12 20:47:49,-7258.620646500788,-7840.37509847689,-7413.73622964811,-6705.967478006828
162,2025-03-12 20:49:57,-7330.837742909664,-7918.60342945772,-7487.177024520745,-6772.758276162027
163,2025-03-12 20:52:06,-7409.573673023897,-8003.86786042542,-7567.46038356749,-6845.437417935925
164,2025-03-12 20:54:14,-7482.384589187237,-8082.612579602153,-7641.702058167017,-6912.72485967043
165,2025-03-12 20:56:23,-7551.062520516019,-8157.0611992844015,-7711.620991169905,-6976.144063484769
166,2025-03-12 20:58:31,-7627.977034368435,-8240.208742285977,-7790.072011226365,-7047.23141248687
167,2025-03-12 21:00:39,-7708.971605829832,-8327.745781906513,-7872.6904173778885,-7122.101148076418
168,2025-03-12 21:02:47,-7781.137625558035,-8405.712307970063,-7946.274122735032,-7188.853716681985
169,2025-03-12 21:04:54,-7853.396943933823,-8484.101537880777,-8019.798487559086,-7255.566689371061
170,2025-03-12 21:07:02,-7929.4474461659665,-8566.24420627626,-8097.41152261686,-7325.876034007353
171,2025-03-12 21:09:10,-8008.925535057773,-8652.423528591124,-8178.3215968027835,-7399.25432887999
172,2025-03-12 21:11:17,-8084.207137933298,-8733.472660353204,-8255.248293067227,-7468.976414784664
173,2025-03-12 21:13:25,-8174.225709033613,-8831.073886390493,-8346.879378118434,-7552.098641018908
174,2025-03-12 21:15:33,-8235.31936876313,-8896.626969537816,-8409.432416130514,-7608.753340007878
175,2025-03-12 21:17:40,-8316.12363363314,-8984.38712086397,-8491.595965730043,-7683.321079799107
176,2025-03-12 21:19:48,-8396.041368500526,-9070.999712775736,-8573.047609473477,-7757.067308954832
177,2025-03-12 21:21:56,-8467.810505842963,-9148.714613970587,-8646.084792706144,-7823.42605206145
178,2025-03-12 21:24:04,-8543.800797662816,-9230.719316242123,-8723.674148174894,-7893.706116235557
179,2025-03-12 21:26:11,-8629.028533679097,-9322.939391576943,-8810.51386882878,-7972.4806328781515
180,2025-03-12 21:28:19,-8705.45233308167,-9405.64775226497,-8888.44044199711,-8043.064055114233
181,2025-03-12 21:30:27,-8781.61634224002,-9487.725938813026,-8966.176523929884,-8113.613342798057
182,2025-03-12 21:32:35,-8869.300855107667,-9582.702956768644,-9055.484584263393,-8194.610749573267
183,2025-03-12 21:34:43,-8936.08176043855,-9655.23590549501,-9123.43505859375,-8256.200363543856
